title,vote_average,vote_count,runtime,genres,year
Toy Story,7.7,5415.0,81.0,"['animation', 'comedy', 'family']",1995
Jumanji,6.9,2413.0,104.0,"['adventure', 'fantasy', 'family']",1995
Grumpier Old Men,6.5,92.0,101.0,"['romance', 'comedy']",1995
Waiting to Exhale,6.1,34.0,127.0,"['comedy', 'drama', 'romance']",1995
Father of the Bride Part II,5.7,173.0,106.0,['comedy'],1995
Heat,7.7,1886.0,170.0,"['action', 'crime', 'drama', 'thriller']",1995
Sabrina,6.2,141.0,127.0,"['comedy', 'romance']",1995
Tom and Huck,5.4,45.0,97.0,"['action', 'adventure', 'drama', 'family']",1995
Sudden Death,5.5,174.0,106.0,"['action', 'adventure', 'thriller']",1995
GoldenEye,6.6,1194.0,130.0,"['adventure', 'action', 'thriller']",1995
The American President,6.5,199.0,106.0,"['comedy', 'drama', 'romance']",1995
Dracula: Dead and Loving It,5.7,210.0,88.0,"['comedy', 'horror']",1995
Balto,7.1,423.0,78.0,"['family', 'animation', 'adventure']",1995
Nixon,7.1,72.0,192.0,"['history', 'drama']",1995
Cutthroat Island,5.7,137.0,119.0,"['action', 'adventure']",1995
Casino,7.8,1343.0,178.0,"['drama', 'crime']",1995
Sense and Sensibility,7.2,364.0,136.0,"['drama', 'romance']",1995
Four Rooms,6.5,539.0,98.0,"['crime', 'comedy']",1995
Ace Ventura: When Nature Calls,6.1,1128.0,90.0,"['crime', 'comedy', 'adventure']",1995
Money Train,5.4,224.0,103.0,"['action', 'comedy', 'crime']",1995
Get Shorty,6.4,305.0,105.0,"['comedy', 'thriller', 'crime']",1995
Copycat,6.5,199.0,124.0,"['drama', 'thriller']",1995
Assassins,6.0,394.0,132.0,"['action', 'adventure', 'crime', 'thriller']",1995
Powder,6.3,143.0,111.0,"['drama', 'fantasy', 'science fiction', 'thriller']",1995
Leaving Las Vegas,7.1,365.0,112.0,"['drama', 'romance']",1995
Othello,7.0,33.0,123.0,['drama'],1995
Now and Then,6.6,91.0,100.0,"['comedy', 'drama', 'family']",1995
Persuasion,7.4,36.0,104.0,"['drama', 'romance']",1995
The City of Lost Children,7.6,308.0,108.0,"['fantasy', 'science fiction', 'adventure']",1995
